Title,Channel,URL
"Trump names David Sacks as Crypto and AI czar","FOX 5 Washington DC","https://www.youtube.com/watch?v=GzO8Owa3KUk"
"Trump names David Sacks as Crypto and AI czar","FOX 5 Washington DC","https://www.youtube.com/watch?v=GzO8Owa3KUk"
"The Jobs Report and $100,000 Bitcoin","Wall Street Journal Opinion","https://www.youtube.com/watch?v=vxcTAQ9ddJk"
"The Jobs Report and $100,000 Bitcoin","Wall Street Journal Opinion","https://www.youtube.com/watch?v=vxcTAQ9ddJk"
"What to expect from venture capitalist David Sacks as he becomes AI and crypto 'czar'","CNBC Television","https://www.youtube.com/watch?v=tVDltkx1sV0"
"What to expect from venture capitalist David Sacks as he becomes AI and crypto 'czar'","CNBC Television","https://www.youtube.com/watch?v=tVDltkx1sV0"
"Trump names venture capitalist David Sacks crypto czar","Yahoo Finance","https://www.youtube.com/watch?v=e8mIaqrs1y8"
"Trump names venture capitalist David Sacks crypto czar","Yahoo Finance","https://www.youtube.com/watch?v=e8mIaqrs1y8"
"Trump appoints ‘AI & Crypto Czar;' IoT cybersecurity compliance lags | The Daily Scoop Podcast","FedScoop","https://www.youtube.com/watch?v=2vUGFtzELDg"
"Trump appoints ‘AI & Crypto Czar;' IoT cybersecurity compliance lags | The Daily Scoop Podcast","FedScoop","https://www.youtube.com/watch?v=2vUGFtzELDg"
"AI-Crypto Gig Adds to Glittering Resume for David Sacks","Bloomberg Television","https://www.youtube.com/watch?v=EzaO6zehsZM"
"AI-Crypto Gig Adds to Glittering Resume for David Sacks","Bloomberg Television","https://www.youtube.com/watch?v=EzaO6zehsZM"
"What will David Sacks do as AI and crypto czar? | USA TODAY","USA TODAY","https://www.youtube.com/watch?v=YtE4zbFuZjA"
"What will David Sacks do as AI and crypto czar? | USA TODAY","USA TODAY","https://www.youtube.com/watch?v=YtE4zbFuZjA"
"Trump names former PayPal exec as crypto and AI czar | REUTERS","Reuters","https://www.youtube.com/watch?v=-NPPooPJhzc"
"Trump names former PayPal exec as crypto and AI czar | REUTERS","Reuters","https://www.youtube.com/watch?v=-NPPooPJhzc"
"Trump Picks AI, Crypto Czar, Chinese Stocks Jump on Stimulus Bets | The Opening Trade 12/06/2024","Bloomberg Television","https://www.youtube.com/watch?v=zgRltc1Ifc4"
"Trump Picks AI, Crypto Czar, Chinese Stocks Jump on Stimulus Bets | The Opening Trade 12/06/2024","Bloomberg Television","https://www.youtube.com/watch?v=zgRltc1Ifc4"
"Jim Cramer looks ahead to next week's game plan","CNBC Television","https://www.youtube.com/watch?v=5o1zpKXWBJs"
"Jim Cramer looks ahead to next week's game plan","CNBC Television","https://www.youtube.com/watch?v=5o1zpKXWBJs"
"US Hiring Rebounds, But Rising Unemployment Keeps Fed Cut Alive | Bloomberg Businessweek","Bloomberg Podcasts","https://www.youtube.com/watch?v=6OS6gJKnCh4"
"US Hiring Rebounds, But Rising Unemployment Keeps Fed Cut Alive | Bloomberg Businessweek","Bloomberg Podcasts","https://www.youtube.com/watch?v=6OS6gJKnCh4"
"November jobs report notes hiring boost after unusual October","The National Desk","https://www.youtube.com/watch?v=36TAo-MsLYs"
"November jobs report notes hiring boost after unusual October","The National Desk","https://www.youtube.com/watch?v=36TAo-MsLYs"
"The U.S. added 227,000 jobs in November which is a bounce-back from the October slowdown","WFAA","https://www.youtube.com/watch?v=cwy3BcbuuXQ"
"The U.S. added 227,000 jobs in November which is a bounce-back from the October slowdown","WFAA","https://www.youtube.com/watch?v=cwy3BcbuuXQ"
"Job creation in November rebounded from a near standstill in October","NEWS CENTER Maine","https://www.youtube.com/watch?v=oEqcjCjgp5s"
"Job creation in November rebounded from a near standstill in October","NEWS CENTER Maine","https://www.youtube.com/watch?v=oEqcjCjgp5s"
"US added a strong 227,000 jobs in November in bounce-back from October slowdown","KVUE","https://www.youtube.com/watch?v=jsL6EtV02UU"
"US added a strong 227,000 jobs in November in bounce-back from October slowdown","KVUE","https://www.youtube.com/watch?v=jsL6EtV02UU"
"Breaking down the November 2024 jobs report","CBS News","https://www.youtube.com/watch?v=zisWHiMf8Rg"
"Breaking down the November 2024 jobs report","CBS News","https://www.youtube.com/watch?v=zisWHiMf8Rg"
