Title,Channel,URL
"Video shows rebels escorting Syria’s PM out of office as Assad regime falls","CNN","https://www.youtube.com/watch?v=ai_PFLTXzvs"
"Video shows rebels escorting Syria’s PM out of office as Assad regime falls","CNN","https://www.youtube.com/watch?v=ai_PFLTXzvs"
"Syrian rebels claim control of Damascus","ABC News","https://www.youtube.com/watch?v=qPqgeAmDIFg"
"Syrian rebels claim control of Damascus","ABC News","https://www.youtube.com/watch?v=qPqgeAmDIFg"
"Syrian government falls in end to 50-year rule of Assad family","ABC11","https://www.youtube.com/watch?v=qgAsDQgHmf0"
"Syrian government falls in end to 50-year rule of Assad family","ABC11","https://www.youtube.com/watch?v=qgAsDQgHmf0"
"Reports of seismic change toppling Syrian government","KENS 5: Your San Antonio News Source","https://www.youtube.com/watch?v=2EfVuLjM2FQ"
"Reports of seismic change toppling Syrian government","KENS 5: Your San Antonio News Source","https://www.youtube.com/watch?v=2EfVuLjM2FQ"
"Syrians celebrate Bashar Assad's fall as his whereabouts remain unknown","WTVR CBS 6","https://www.youtube.com/watch?v=33V6OvwOXSc"
"Syrians celebrate Bashar Assad's fall as his whereabouts remain unknown","WTVR CBS 6","https://www.youtube.com/watch?v=33V6OvwOXSc"
"Inside Syrian President Bashar al Assad's trashed private residence as rebel forces take control","The Independent","https://www.youtube.com/watch?v=c3kNv7l7ksg"
"Inside Syrian President Bashar al Assad's trashed private residence as rebel forces take control","The Independent","https://www.youtube.com/watch?v=c3kNv7l7ksg"
"Syrian rebels claim Damascus, ousting al-Assad regime","KATVchannel7","https://www.youtube.com/watch?v=wfJU_2orr88"
"Syrian rebels claim Damascus, ousting al-Assad regime","KATVchannel7","https://www.youtube.com/watch?v=wfJU_2orr88"
"Assad regime overthrown by rebels in Syria","Fox News","https://www.youtube.com/watch?v=9B_NOEe_4L0"
"Assad regime overthrown by rebels in Syria","Fox News","https://www.youtube.com/watch?v=9B_NOEe_4L0"
"Syria latest: President Assad flees after rebels seize  | LiveNOW from FOX","LiveNOW from FOX","https://www.youtube.com/watch?v=RcUUmYvapaY"
"Syria latest: President Assad flees after rebels seize  | LiveNOW from FOX","LiveNOW from FOX","https://www.youtube.com/watch?v=RcUUmYvapaY"
"Syrian dictator Bashar al-Assad flees as rebels conquer the country","FOX 32 Chicago","https://www.youtube.com/watch?v=qSSmJj9U4EY"
"Syrian dictator Bashar al-Assad flees as rebels conquer the country","FOX 32 Chicago","https://www.youtube.com/watch?v=qSSmJj9U4EY"
"Assad regime collapses as rebels take the capital of Syria","11Alive","https://www.youtube.com/watch?v=FtgrpNlWUZg"
"Assad regime collapses as rebels take the capital of Syria","11Alive","https://www.youtube.com/watch?v=FtgrpNlWUZg"
"Syrian government falls in stunning end to 50-year rule of Assad family","WGN News","https://www.youtube.com/watch?v=hUnW-TJ1jPY"
"Syrian government falls in stunning end to 50-year rule of Assad family","WGN News","https://www.youtube.com/watch?v=hUnW-TJ1jPY"
"LIVE: Dateline 24/7","Dateline NBC","https://www.youtube.com/watch?v=-T5uLc0fx5Q"
"LIVE: Dateline 24/7","Dateline NBC","https://www.youtube.com/watch?v=-T5uLc0fx5Q"
"LIVE: NBC News NOW","NBC News","https://www.youtube.com/watch?v=MUOLueq21-M"
"LIVE: NBC News NOW","NBC News","https://www.youtube.com/watch?v=MUOLueq21-M"
"LIVE: Syria rebels declare Damascus 'free' | LiveNOW from FOX","LiveNOW from FOX","https://www.youtube.com/watch?v=Z4pFoUDK6H4"
"LIVE: Syria rebels declare Damascus 'free' | LiveNOW from FOX","LiveNOW from FOX","https://www.youtube.com/watch?v=Z4pFoUDK6H4"
"LIVE: Latest News Headlines and Events l ABC News Live","ABC News","https://www.youtube.com/watch?v=-mvUkiILTqI"
"LIVE: Latest News Headlines and Events l ABC News Live","ABC News","https://www.youtube.com/watch?v=-mvUkiILTqI"
"LIVE NEWS: LiveNOW FOX 24/7 LIVE STREAM","LiveNOW from FOX","https://www.youtube.com/watch?v=YDfiTGGPYCk"
"LIVE NEWS: LiveNOW FOX 24/7 LIVE STREAM","LiveNOW from FOX","https://www.youtube.com/watch?v=YDfiTGGPYCk"
"ABC 7 New York Live: Eyewitness News and more!","Eyewitness News ABC7NY","https://www.youtube.com/watch?v=oFOTr81KHLg"
"ABC 7 New York Live: Eyewitness News and more!","Eyewitness News ABC7NY","https://www.youtube.com/watch?v=oFOTr81KHLg"
"ABC13 Houston | Live Local News and Weather","ABC13 Houston","https://www.youtube.com/watch?v=6EdywNFYhu8"
"ABC13 Houston | Live Local News and Weather","ABC13 Houston","https://www.youtube.com/watch?v=6EdywNFYhu8"
"Local & National News Updates | North Carolina Forecast & What's #trending","WRAL","https://www.youtube.com/watch?v=5zOTU7rpikw"
"Local & National News Updates | North Carolina Forecast & What's #trending","WRAL","https://www.youtube.com/watch?v=5zOTU7rpikw"
"Local 10 News South Florida, Miami, Fort Lauderdale and the Keys.","WPLG Local 10","https://www.youtube.com/watch?v=2w6LcfLBNiY"
"Local 10 News South Florida, Miami, Fort Lauderdale and the Keys.","WPLG Local 10","https://www.youtube.com/watch?v=2w6LcfLBNiY"
"Bloomberg Business News Live","Bloomberg Television","https://www.youtube.com/watch?v=iEpJwprxDdk"
"Bloomberg Business News Live","Bloomberg Television","https://www.youtube.com/watch?v=iEpJwprxDdk"
"LIVE: ABC7 Eyewitness News","ABC7","https://www.youtube.com/watch?v=-E0AHOOGo24"
"LIVE: ABC7 Eyewitness News","ABC7","https://www.youtube.com/watch?v=-E0AHOOGo24"
"LIVE: 6abc Philadelphia","6abc Philadelphia","https://www.youtube.com/watch?v=RKy55PVIxx4"
"LIVE: 6abc Philadelphia","6abc Philadelphia","https://www.youtube.com/watch?v=RKy55PVIxx4"
"LIVE: ABC7 Chicago Eyewitness News","ABC 7 Chicago","https://www.youtube.com/watch?v=SlpTSiNv-m4"
"LIVE: ABC7 Chicago Eyewitness News","ABC 7 Chicago","https://www.youtube.com/watch?v=SlpTSiNv-m4"
"Watch FOX Weather Channel Live Stream: Tracking Breaking Weather News, Local and National Forecasts","FOX Weather","https://www.youtube.com/watch?v=wt6SIE7BXS8"
"Watch FOX Weather Channel Live Stream: Tracking Breaking Weather News, Local and National Forecasts","FOX Weather","https://www.youtube.com/watch?v=wt6SIE7BXS8"
"Roland Martin Unfiltered | Black Star Network 24/7","Roland S. Martin","https://www.youtube.com/watch?v=FiJ_a7zHFQI"
"Roland Martin Unfiltered | Black Star Network 24/7","Roland S. Martin","https://www.youtube.com/watch?v=FiJ_a7zHFQI"
"NBC-2 Live Stream from WBBH-TV in Ft. Myers, Florida","NBC2 News","https://www.youtube.com/watch?v=01tsVNieY8E"
"NBC-2 Live Stream from WBBH-TV in Ft. Myers, Florida","NBC2 News","https://www.youtube.com/watch?v=01tsVNieY8E"
"LIVE: ABC30 Central CA","ABC30 Action News","https://www.youtube.com/watch?v=xvnAGbGs_o4"
"LIVE: ABC30 Central CA","ABC30 Action News","https://www.youtube.com/watch?v=xvnAGbGs_o4"
"LIVE: ABC7 News","ABC7 News Bay Area","https://www.youtube.com/watch?v=rNXAe-ehi2Y"
"LIVE: ABC7 News","ABC7 News Bay Area","https://www.youtube.com/watch?v=rNXAe-ehi2Y"
"APhiA Founders Day '24, NC GOP power grab, Hegseth nomination backlash, Biden pardon fallout","Roland S. Martin","https://www.youtube.com/watch?v=blkfyvrfhpE"
"APhiA Founders Day '24, NC GOP power grab, Hegseth nomination backlash, Biden pardon fallout","Roland S. Martin","https://www.youtube.com/watch?v=blkfyvrfhpE"
"LIVE: ABC11 Raleigh-Durham","ABC11","https://www.youtube.com/watch?v=R2bn2jHO_6I"
"LIVE: ABC11 Raleigh-Durham","ABC11","https://www.youtube.com/watch?v=R2bn2jHO_6I"
"EN VIVO: Noticias Telemundo AHORA - Noticias en español 24/7","Noticias Telemundo","https://www.youtube.com/watch?v=0zMi6kHo19o"
"EN VIVO: Noticias Telemundo AHORA - Noticias en español 24/7","Noticias Telemundo","https://www.youtube.com/watch?v=0zMi6kHo19o"
"Stock market today: Live coverage from Yahoo Finance","Yahoo Finance","https://www.youtube.com/watch?v=OAHHA27td-A"
"Stock market today: Live coverage from Yahoo Finance","Yahoo Finance","https://www.youtube.com/watch?v=OAHHA27td-A"
"WATCH LIVE: Fox News' All-American Christmas Tree","Fox News","https://www.youtube.com/watch?v=PpiuVxWq630"
"WATCH LIVE: Fox News' All-American Christmas Tree","Fox News","https://www.youtube.com/watch?v=PpiuVxWq630"
"EN VIVO: Univision Noticias 24/7","Univision Noticias","https://www.youtube.com/watch?v=V4C7VNfRATA"
"EN VIVO: Univision Noticias 24/7","Univision Noticias","https://www.youtube.com/watch?v=V4C7VNfRATA"
"CNN Exclusive: Syrian rebel leader says goal is to overthrow Assad regime","CNN","https://www.youtube.com/watch?v=1tLBPbEXScA"
"CNN Exclusive: Syrian rebel leader says goal is to overthrow Assad regime","CNN","https://www.youtube.com/watch?v=1tLBPbEXScA"
"A Health Insurance CEO is Dead. Not Everyone Is Sad.","CNN","https://www.youtube.com/watch?v=YzF4Fwv12iA"
"A Health Insurance CEO is Dead. Not Everyone Is Sad.","CNN","https://www.youtube.com/watch?v=YzF4Fwv12iA"
"New York police release new images of UnitedHealthcare CEO shooting suspect","CBS Chicago","https://www.youtube.com/watch?v=ikhfgpemlw4"
"New York police release new images of UnitedHealthcare CEO shooting suspect","CBS Chicago","https://www.youtube.com/watch?v=ikhfgpemlw4"
"NYPD releases new photos of person of interest in UnitedHealthcare CEO shooting","CBS New York","https://www.youtube.com/watch?v=fNldD7YULXk"
"NYPD releases new photos of person of interest in UnitedHealthcare CEO shooting","CBS New York","https://www.youtube.com/watch?v=fNldD7YULXk"
"New information regarding backpack of suspect in UnitedHealthcare CEO killing","KTVB","https://www.youtube.com/watch?v=ba81TT-mJ9s"
"New information regarding backpack of suspect in UnitedHealthcare CEO killing","KTVB","https://www.youtube.com/watch?v=ba81TT-mJ9s"
"Search for UnitedHealthcare CEO's killer continues","KCENNews","https://www.youtube.com/watch?v=sHkF2-3Ct4w"
"Search for UnitedHealthcare CEO's killer continues","KCENNews","https://www.youtube.com/watch?v=sHkF2-3Ct4w"
"FBI joins manhunt for killer of United Healthcare CEO","Island News","https://www.youtube.com/watch?v=57-8ekrHVq8"
"FBI joins manhunt for killer of United Healthcare CEO","Island News","https://www.youtube.com/watch?v=57-8ekrHVq8"
"Backpack found in hunt for United Healthcare CEO killer | FOX 13 Seattle","FOX 13 Seattle","https://www.youtube.com/watch?v=zU-wxOI-sv4"
"Backpack found in hunt for United Healthcare CEO killer | FOX 13 Seattle","FOX 13 Seattle","https://www.youtube.com/watch?v=zU-wxOI-sv4"
"Manhunt for UnitedHealth CEO's killer enters fourth day","FOX 5 New York","https://www.youtube.com/watch?v=2TEUan4I-2A"
"Manhunt for UnitedHealth CEO's killer enters fourth day","FOX 5 New York","https://www.youtube.com/watch?v=2TEUan4I-2A"
"UnitedHealthcare CEO shooter may have fled New York City","WUSA9","https://www.youtube.com/watch?v=IUe9FwFl9-4"
"UnitedHealthcare CEO shooter may have fled New York City","WUSA9","https://www.youtube.com/watch?v=IUe9FwFl9-4"
"Ex-NYPD commissioner says it's only a matter of time before CEO killer is identified","Fox News","https://www.youtube.com/watch?v=9T5TlQANJT8"
"Ex-NYPD commissioner says it's only a matter of time before CEO killer is identified","Fox News","https://www.youtube.com/watch?v=9T5TlQANJT8"
"Days after gunman killed UnitedHealthcare's CEO, police push to ID him and FBI offers reward","KARE 11","https://www.youtube.com/watch?v=LdQT7Y-0XAs"
"Days after gunman killed UnitedHealthcare's CEO, police push to ID him and FBI offers reward","KARE 11","https://www.youtube.com/watch?v=LdQT7Y-0XAs"
"Report: UnitedHealthcare CEO's alleged killer may have taken Atlanta-bound bus","Atlanta News First","https://www.youtube.com/watch?v=-8arzLJv0sg"
"Report: UnitedHealthcare CEO's alleged killer may have taken Atlanta-bound bus","Atlanta News First","https://www.youtube.com/watch?v=-8arzLJv0sg"
"Trump has ‘narrow window’ to get Putin to the negotiating table: fmr. Ukraine president","NBC News","https://www.youtube.com/watch?v=inuSrIlqvpI"
"Trump has ‘narrow window’ to get Putin to the negotiating table: fmr. Ukraine president","NBC News","https://www.youtube.com/watch?v=inuSrIlqvpI"
"Trump's plan for Ukraine comes into focus | REUTERS","Reuters","https://www.youtube.com/watch?v=U3oddLuiVLA"
"Trump's plan for Ukraine comes into focus | REUTERS","Reuters","https://www.youtube.com/watch?v=U3oddLuiVLA"
"South Korea impeachment vote fails against President Yoon | FOX 13 Seattle","FOX 13 Seattle","https://www.youtube.com/watch?v=z_o_3-T_2cc"
"South Korea impeachment vote fails against President Yoon | FOX 13 Seattle","FOX 13 Seattle","https://www.youtube.com/watch?v=z_o_3-T_2cc"
"South Korea's president avoids an impeachment attempt over short-lived martial law","ABC 7 Chicago","https://www.youtube.com/watch?v=u1Nxz94dSsA"
"South Korea's president avoids an impeachment attempt over short-lived martial law","ABC 7 Chicago","https://www.youtube.com/watch?v=u1Nxz94dSsA"
"Vote to impeach South Korea's Yoon fails after ruling party walks out | REUTERS","Reuters","https://www.youtube.com/watch?v=Q8Obj7ha0PY"
"Vote to impeach South Korea's Yoon fails after ruling party walks out | REUTERS","Reuters","https://www.youtube.com/watch?v=Q8Obj7ha0PY"
"Demonstrations held outside South Korea's parliament ahead of impeachment vote","Associated Press","https://www.youtube.com/watch?v=2NoRCN3WN-0"
"Demonstrations held outside South Korea's parliament ahead of impeachment vote","Associated Press","https://www.youtube.com/watch?v=2NoRCN3WN-0"
"Korean community in Colorado Springs responds to South Korea's martial law order","KOAA 5","https://www.youtube.com/watch?v=rNS1Mwq4Au8"
